system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,agbd,bsi,class,dem,evi,mndwi,ndbi,ndvi,slope,.geo
46,0.05102187703845338,0.27784701958928526,0.20157834258019652,0.04789454714696829,0.058351100703339064,0.06825847517492092,0.09950193563899007,0.13844485150962313,0.165717474113462,0.17408499461048793,0.1998123714113943,0.20499263187434694,70.79911776366515,0.20162119365982248,1,161.61115,0.22019162555494756,-0.63691133,0.21614805,0.4069542,27.301622,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.04731717092512075,0.20585937393396164,0.10405989664761535,0.0498292754619572,0.06612897267952293,0.051826607073320825,0.1114987568565738,0.24988715858766325,0.29937948692495264,0.31157353484467376,0.3348837024367573,0.3195573169147457,227.471558,-0.16843604470349052,1,632.3364,0.5084557437386501,-0.51936656,-0.20599584,0.7153979,29.22768,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.02412758190435176,0.1222181927260165,0.05697651245217499,0.02428052530029246,0.03758646234946494,0.02309401492657367,0.06434458285813824,0.16777283103216895,0.20296715818652547,0.21003374907751393,0.22604873605539766,0.22873374816292766,261.801222816605,-0.22684580228830833,1,1100.5419,0.3951880880936399,-0.5356815,-0.25664023,0.7988006,12.453529,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.04020921490911586,0.17647145479579282,0.08051048115741376,0.03781077619572851,0.054059777969748445,0.04100041378831765,0.09515211503696604,0.19759266371284587,0.23744574629620008,0.2481863535065592,0.2775572446753637,0.275216550116183,172.9851038407389,-0.1700144902484687,1,267.5177,0.4123861352969972,-0.556713,-0.20808893,0.72786963,16.391483,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.030189420866212097,0.12728249423408022,0.058216177441015364,0.026920665593407122,0.040248321311126364,0.02348914407462478,0.06635009630379814,0.1866857018518949,0.2324790182757774,0.23289271141919304,0.2545027066696589,0.2596180831403374,187.1296150208478,-0.24792647046489816,1,451.8061,0.44513609319351466,-0.5321096,-0.27615398,0.81305796,9.397524,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.031716044429639746,0.14431182777418153,0.06460215773704595,0.030343330531832916,0.048381099160157454,0.027218774625380745,0.07986922592699972,0.2221426441217902,0.27517269642950964,0.2833931555018272,0.3018601215373143,0.2996070676076561,186.102051,-0.280183305262181,1,789.3005,0.5231851608652904,-0.5063144,-0.31265152,0.82891107,21.747217,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.04574756458473231,0.23629265997159032,0.14194227636875412,0.049999207351689966,0.06780220123304428,0.0688120437128182,0.1164113015879394,0.1978727643910742,0.23022872867983438,0.24386590814037568,0.2632750317467251,0.2675000879397559,113.71387481689453,-0.0021427300545841205,1,539.1559,0.3444474554108188,-0.5567195,-0.022755247,0.56268144,34.609894,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.037130862560387175,0.18739589739414572,0.08849059216110448,0.03619443932727509,0.05579850571787093,0.03906613321270568,0.09555519756175122,0.21289662213826824,0.25636168144670957,0.26905891358557915,0.2902703279901287,0.28356272250835624,189.60200603566975,-0.18872963131450338,1,182.00221,0.4636339809068875,-0.55367434,-0.21903227,0.75351787,18.357098,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.03668281159445421,0.17838598582117818,0.08113240164130375,0.03411846630075019,0.05164264871704977,0.03602602196546776,0.09034393580986001,0.19783618268862457,0.23935466708045974,0.24824705732246105,0.27171117660885413,0.2694368728268678,157.9561551586942,-0.1784309020968909,1,197.74203,0.4436253585980788,-0.57131463,-0.20725213,0.7480521,11.803178,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.03892118795608673,0.21222809090944436,0.1022688943182137,0.03794193630625026,0.05740129001823309,0.0376803691794901,0.0954377673643086,0.2401874645118438,0.29716988607443234,0.3033614361755347,0.33061303360424066,0.3270197801064325,103.984558,-0.1555825312006691,1,209.58266,0.5253097555571117,-0.58390564,-0.17795025,0.78189844,28.450953,"{""type"":""MultiPoint"",""coordinates"":[]}"
